Name,Dihedral Linking Numbers
3_1,"[[[1, -2], [-2, 0]]]"
6_1,"[[[-5, 2], [2, -1]]]"
7_4,"[[[-7, 2], [2, -3]]]"
7_7,"[[[-10, 6], [6, -2]]]"
8_5,"[[[2, -4], [-4, 0]]]"
8_10,"[[[0, 0], [0, 1]]]"
8_11,"[[[-13, 6], [6, -4]]]"
8_15,"[[[2, -4], [-4, -1]]]"
8_18,"[[[-2, 2], [2, -1]], [[2, -2], [-2, 1]], [[2, -2], [-2, 1]], [[-2, 2], [2, -1]]]"
8_19,"[[[2, -4], [-4, -2]]]"
8_20,"[[[0, 0], [0, 1]]]"
8_21,"[[[2, -4], [-4, 0]]]"
9_1,"[[[3, -6], [-6, -1]]]"
9_2,"[[[-2, -2], [-2, -2]]]"
9_4,"[[[-2, -2], [-2, -2]]]"
9_6,"[[[3, -6], [-6, -1]]]"
9_10,"[[[-15, 6], [6, -6]]]"
9_11,"[[[-7, 6], [6, 0]]]"
9_15,"[[[-7, 6], [6, -1]]]"
9_16,"[[[2, -4], [-4, -2]]]"
9_17,"[[[-18, 10], [10, -5]]]"
9_23,"[[[3, -6], [-6, 0]]]"
9_24,"[[[0, 0], [0, 0]]]"
9_28,"[[[2, -4], [-4, 1]]]"
9_29,"[[[-22, 10], [10, -4]]]"
9_34,"[[[18/5, -14/5], [-14/5, 12/5]]]"
9_35,"[[[-13/3, 2/3], [2/3, -10/3]], [[-10/3, 2/3], [2/3, -10/3]], [['x', 'x'], ['x', 'x']], [[-19/3, 2/3], [2/3, -10/3]]]"
9_37,"[[[-23/3, 10/3], [10/3, -5/3]], [['x', 'x'], ['x', 'x']], [[-20/3, 10/3], [10/3, -5/3]], [[-22/3, 14/3], [14/3, -7/3]]]"
9_38,"[[[24, -14], [-14, 4]]]"
9_40,"[[[2, -4], [-4, 1]]]"
9_46,"[[[7/3, -2/3], [-2/3, 7/3]], [['x', 'x'], ['x', 'x']], [[4/3, -2/3], [-2/3, 7/3]], [[5/3, 2/3], [2/3, 5/3]]]"
9_47,"[[[-5/3, -2/3], [-2/3, -2/3]], [[-7/3, 2/3], [2/3, -4/3]], [[-2/3, -2/3], [-2/3, -2/3]], [[-5/3, -2/3], [-2/3, -2/3]]]"
9_48,"[[[-11/3, 10/3], [10/3, 1/3]], [[-11/3, 10/3], [10/3, 1/3]], [[-14/3, 10/3], [10/3, 1/3]], [['x', 'x'], ['x', 'x']]]"
10_4,"[[[-4, 2], [2, -1]]]"
10_5,"[[[-1, 2], [2, 1]]]"
10_9,"[[[1, -2], [-2, 0]]]"
10_10,"[[[4, -2], [-2, 2]]]"
10_14,"[[[-8, 2], [2, -3]]]"
10_19,"[[[9, -6], [-6, 3]]]"
10_21,"[[[-21, 10], [10, -7]]]"
10_29,"[[[-5, 2], [2, -2]]]"
10_31,"[[[9, -6], [-6, 3]]]"
10_32,"[[[1, -2], [-2, 1]]]"
10_36,"[[[-8, 2], [2, -3]]]"
10_40,"[[[-1, 2], [2, 1]]]"
10_42,"[[[-5, 2], [2, -1]]]"
10_59,"[[[3, -2], [-2, 0]]]"
10_61,"[[[2, -4], [-4, 1]]]"
10_62,"[[[0, 0], [0, 2]]]"
10_63,"[[[2, -4], [-4, -2]]]"
10_64,"[[[2, -4], [-4, 1]]]"
10_65,"[[[0, 0], [0, 2]]]"
10_66,"[[[2, -4], [-4, -2]]]"
10_67,"[[[-28/5, 14/5], [14/5, -17/5]]]"
10_68,"[[[22/5, -6/5], [-6/5, 8/5]]]"
10_69,"[[[-42/5, 26/5], [26/5, -3/5]]]"
10_74,"[[[-29/3, 10/3], [10/3, -11/3]], [[-28/3, 14/3], [14/3, -13/3]], [['x', 'x'], ['x', 'x']], [[-37/3, 14/3], [14/3, -13/3]]]"
10_75,"[[[-32/3, 22/3], [22/3, -8/3]], [[-38/3, 22/3], [22/3, -8/3]], [[-38/3, 22/3], [22/3, -8/3]], [['x', 'x'], ['x', 'x']]]"
10_76,"[[[2, -4], [-4, 0]]]"
10_77,"[[[0, 0], [0, 2]]]"
10_78,"[[[1, -4], [-4, -1]]]"
10_82,"[[[-1, 0], [0, -1]]]"
10_84,"[[[3, -4], [-4, 1]]]"
10_85,"[[[-3, 4], [4, 0]]]"
10_87,"[[[-1, 0], [0, 0]]]"
10_89,"[[[-27, 14], [14, -5]]]"
10_96,"[[[-42, 22], [22, -10]]]"
10_97,"[[[-38, 18], [18, -11]]]"
10_98,"[[[11, -6], [-6, 1]], [[4, -4], [-4, 0]], [[2, -4], [-4, 0]], [[4, -4], [-4, 0]]]"
10_99,"[[[0, 0], [0, 0]], [[1, 0], [0, 0]], [[0, 0], [0, 0]], [[-1, 0], [0, 0]]]"
10_103,"[[[0, 2], [2, 1]]]"
10_106,"[[[1, -2], [-2, 0]]]"
10_107,"[[[10, -6], [-6, 3]]]"
10_108,"[[[-4, 2], [2, -1]]]"
10_112,"[[[2, -2], [-2, 2]]]"
10_113,"[[[38/7, -26/7], [-26/7, 6/7]]]"
10_114,"[[[2, -2], [-2, 2]]]"
10_120,"[[[4, -5], [-5, -3/2]]]"
10_122,"[[[-34/5, 22/5], [22/5, -6/5]]]"
10_136,"[[[[-22, 10], [10, -4]]], [[[-17, 10], [10, -4]]]]"
10_139,"[[[2, -4], [-4, -3]]]"
10_140,"[[[0, 0], [0, -1]]]"
10_141,"[[[2, -4], [-4, 1]]]"
10_142,"[[[2, -4], [-4, -2]]]"
10_143,"[[[0, 0], [0, 2]]]"
10_144,"[[[3, -4], [-4, 1]]]"
10_145,"[[[-2/5, 6/5], [6/5, 17/5]]]"
10_146,"[[[18/5, -14/5], [-14/5, 12/5]]]"
10_147,"[[[12/5, -6/5], [-6/5, 3/5]]]"
10_158,"[[[-4, 2], [2, -1]]]"
10_159,"[[[1, -2], [-2, -1]]]"
10_160,"[[[-8, 2], [2, -3]]]"
10_163,"[[[1, -2], [-2, 0]]]"
10_164,"[[[4, -2], [-2, 2]]]"
10_165,"[[[-7, 6], [6, 0]]]"
11a_6,"[[[-11, 6], [6, -4]]]"
11a_8,"[[[6, -2], [-2, 2]]]"
11a_16,"[[[6, -4], [-4, 2]]]"
11a_17,"[[[6, -4], [-4, 1]]]"
11a_21,"[[[-4, 0], [0, -2]]]"
11a_37,"[[[-4, 0], [0, -1]]]"
11a_38,"[[[52/7, -26/7], [-26/7, 13/7]]]"
11a_43,"[[[1, -4], [-4, -3]], [[2, -6], [-6, -2]], [[2, -4], [-4, -3]], [[1, -4], [-4, -3]]]"
11a_44,"[[[0, 0], [0, 0]], [[1, -2], [-2, 1]], [[2, -4], [-4, 2]], [[0, 0], [0, 0]]]"
11a_45,"[[[5, -4], [-4, 1]]]"
11a_46,"[[[2, -4], [-4, 1]]]"
11a_47,"[[[2, -4], [-4, 2]], [[0, 0], [0, 0]], [[0, 0], [0, 0]], [[1, -2], [-2, 1]]]"
11a_49,"[[[-4, 0], [0, -3]]]"
11a_57,"[[[-1, 2], [2, 0]], [[-2, 4], [4, -1]], [[0, 0], [0, 1]], [[0, 0], [0, 1]]]"
11a_58,"[[[0, 0], [0, 0]]]"
11a_63,"[[[0, 2], [2, 2]]]"
11a_69,"[[[-26, 14], [14, -7]]]"
11a_71,"[[[3, -4], [-4, 1]]]"
11a_72,"[[[-1, 0], [0, 0]]]"
11a_73,"[[[-2, 2], [2, 0]]]"
11a_78,"[[[-58/5, 34/5], [34/5, -22/5]]]"
11a_90,"[[[-10, 6], [6, -2]]]"
11a_91,"[[[-10, 6], [6, -3]]]"
11a_93,"[[[-15, 10], [10, -4]]]"
11a_99,"[[[-5, 2], [2, -1]]]"
11a_100,"[[[2, -4], [-4, -1]]]"
11a_102,"[[[-49/5, 22/5], [22/5, -16/5]]]"
11a_103,"[[[-43/7, 18/7], [18/7, -9/7]]]"
11a_106,"[[[2, -4], [-4, 2]]]"
11a_107,"[[[2, -4], [-4, 1]]]"
11a_108,"[[[0, 0], [0, 1]]]"
11a_109,"[[[0, 0], [0, 0]]]"
11a_117,"[[[3, -6], [-6, 0]]]"
11a_118,"[[[-3, 0], [0, -1]]]"
11a_123,"[[[17/3, -22/3], [-22/3, -1/3]], [['x', 'x'], ['x', 'x']], [[17/3, -22/3], [-22/3, -1/3]], [[-50/3, 22/3], [22/3, -23/3]]]"
11a_128,"[[[-55/7, 38/7], [38/7, -12/7]]]"
11a_130,"[[[-4, 4], [4, 0]]]"
11a_132,"[[[60, -30], [-30, 14]]]"
11a_134,"[[[2, -4], [-4, 0]]]"
11a_135,"[[[-17/3, 10/3], [10/3, -5/3]], [[-19/3, 14/3], [14/3, -7/3]], [[58/9, -38/9], [-38/9, 19/9]], [[-17/3, 10/3], [10/3, -5/3]]]"
11a_137,"[[[-15, 8], [8, -3]]]"
11a_139,"[[[0, 0], [0, -1]]]"
11a_146,"[[[-15, 10], [10, -3]]]"
11a_152,"[[[2, 0], [0, 1]]]"
11a_155,"[[['x', 'x'], ['x', 'x']], [[-14/3, 10/3], [10/3, 1/3]], [[-10/3, 14/3], [14/3, -1/3]], [['x', 'x'], ['x', 'x']]]"
11a_157,"[[[0, 0], [0, 2]]]"
11a_159,"[[[7, -6], [-6, 2]]]"
11a_161,"[[[-6, 4], [4, 0]]]"
11a_165,"[[[0, 0], [0, -1]]]"
11a_171,"[[[2, -2], [-2, 0]]]"
11a_173,"[[[-62/3, 34/3], [34/3, -20/3]], [[13/3, -14/3], [-14/3, 4/3]], [['x', 'x'], ['x', 'x']], [[13/3, -14/3], [-14/3, 4/3]]]"
11a_175,"[[[1, -2], [-2, 1]]]"
11a_176,"[[[1, -2], [-2, 0]]]"
11a_178,"[[[-7, 2], [2, -3]]]"
11a_179,"[[[-26, 14], [14, -8]]]"
11a_181,"[[[-41/3, 22/3], [22/3, -14/3]], [[-46/3, 26/3], [26/3, -16/3]], [[-47/3, 22/3], [22/3, -14/3]], [['x', 'x'], ['x', 'x']]]"
11a_184,"[[[-15, 10], [10, -3]]]"
11a_187,"[[[52/5, -26/5], [-26/5, 13/5]]]"
11a_194,"[[[-2, 4], [4, 1]]]"
11a_196,"[[[-1, 2], [2, 1]]]"
11a_199,"[[[-44/7, 22/7], [22/7, -4/7]]]"
11a_201,"[[[-36/5, 18/5], [18/5, -4/5]]]"
11a_202,"[[[-54/7, 34/7], [34/7, -24/7]]]"
11a_203,"[[[3, -6], [-6, 0]]]"
11a_208,"[[[-7, 6], [6, 0]]]"
11a_209,"[[[14, -8], [-8, 5]]]"
11a_212,"[[[3, -6], [-6, 0]]]"
11a_214,"[[[-34/5, 22/5], [22/5, -11/5]]]"
11a_216,"[[[1, -2], [-2, 0]]]"
11a_219,"[[[41/7, -10/7], [-10/7, 26/7]]]"
11a_223,"[[[2, -4], [-4, -1]]]"
11a_230,"[[[-2, -2], [-2, -1]]]"
11a_231,"[[[0, 0], [0, 1]], [[-2, 4], [4, -1]], [[0, 0], [0, 1]], [[-1, 2], [2, 0]]]"
11a_232,"[[[-2, 4], [4, -1]]]"
11a_236,"[[[3, -6], [-6, -1]]]"
11a_237,"[[[-38/5, 14/5], [14/5, -27/5]]]"
11a_239,"[[[-46/11, 34/11], [34/11, -28/11]]]"
11a_243,"[[[-10, 2], [2, -5]]]"
11a_244,"[[[2, -4], [-4, -2]]]"
11a_245,"[[[2, -4], [-4, -2]]]"
11a_248,"[[[46/11, -34/11], [-34/11, 39/11]]]"
11a_249,"[[[10/3, -2/3], [-2/3, 4/3]], [[26/9, -22/9], [-22/9, 20/9]], [[8/3, 2/3], [2/3, 2/3]], [[10/3, -2/3], [-2/3, 4/3]]]"
11a_258,"[[[6, -4], [-4, 2]]]"
11a_260,"[[[-3, 0], [0, -3]]]"
11a_261,"[[[-3, 4], [4, 1]]]"
11a_263,"[[[2, -4], [-4, -3]], [[3, -6], [-6, -2]], [[2, -4], [-4, -3]], [[2, -4], [-4, -3]]]"
11a_264,"[[[-1, 0], [0, -1]]]"
11a_271,"[[[-13, 6], [6, -5]]]"
11a_273,"[[[-4, 4], [4, 0]]]"
11a_274,"[[[-9, 6], [6, -2]]]"
11a_275,"[[[-2, -2], [-2, -2]]]"
11a_277,"[[['x', 'x'], ['x', 'x']], [[-7/3, 2/3], [2/3, -4/3]], [[-34/9, 26/9], [26/9, -22/9]], [['x', 'x'], ['x', 'x']]]"
11a_278,"[[[-38/11, 30/11], [30/11, -26/11]]]"
11a_280,"[[[14, -8], [-8, 5]]]"
11a_283,"[[[-1, 2], [2, 1]]]"
11a_286,"[[[3, -2], [-2, 1]]]"
11a_290,"[[[-3, 2], [2, 0]]]"
11a_291,"[[[20/3, -22/3], [-22/3, -1/3]], [['x', 'x'], ['x', 'x']], [[20/3, -22/3], [-22/3, -1/3]], [[40/3, -26/3], [-26/3, 1/3]]]"
11a_292,"[[[58, -30], [-30, 11]]]"
11a_293,"[[[-34/3, 14/3], [14/3, -1/3]], [[-13/3, 14/3], [14/3, -1/3]], [[-13/3, 14/3], [14/3, -1/3]], [['x', 'x'], ['x', 'x']]]"
11a_294,"[[[-54, 26], [26, -12]]]"
11a_296,"[[[-41, 22], [22, -8]]]"
11a_300,"[[[5, -2], [-2, 2]]]"
11a_304,"[[[13, -10], [-10, 2]]]"
11a_305,"[[[-1, 0], [0, 1]]]"
11a_306,"[[[-1, 2], [2, 2]]]"
11a_309,"[[[-7, 2], [2, -4]]]"
11a_314,"[[['x', 'x'], ['x', 'x']], [[-5/3, -2/3], [-2/3, -2/3]], [[-34/9, 26/9], [26/9, -22/9]], [[-5/3, -2/3], [-2/3, -2/3]]]"
11a_318,"[[[5, -6], [-6, -1]]]"
11a_324,"[[[-19, 12], [12, -3]]]"
11a_332,"[[[-3, 2], [2, -1]], [[-3, 2], [2, -1]], [[2, -4], [-4, 2]], [[1, 0], [0, 0]]]"
11a_335,"[[[-10, 2], [2, -5]]]"
11a_338,"[[[2, -4], [-4, -3]]]"
11a_340,"[[[2, -4], [-4, -2]]]"
11a_344,"[[[-8, 2], [2, -4]]]"
11a_346,"[[[38/5, -14/5], [-14/5, 2/5]]]"
11a_347,"[[[-50, 26], [26, -14]]]"
11a_351,"[[[2, -4], [-4, 2]]]"
11a_352,"[[[2, -4], [-4, 1]], [[12, -6], [-6, 2]], [[13, -6], [-6, 2]], [[3, -2], [-2, 0]]]"
11a_353,"[[[48/5, -34/5], [-34/5, -3/5]]]"
11a_354,"[[[-46, 22], [22, -15]]]"
11a_355,"[[[3, -6], [-6, -2]]]"
11a_360,"[[[-2, -2], [-2, -3]]]"
11a_361,"[[[-26/7, 6/7], [6/7, -31/7]]]"
11a_362,"[[[-19/5, 2/5], [2/5, -16/5]]]"
11a_365,"[[[-23, 10], [10, -9]]]"
11a_366,"[[[-37/3, 14/3], [14/3, -19/3]], [[-34/3, 14/3], [14/3, -19/3]], [['x', 'x'], ['x', 'x']], [[-43/3, 14/3], [14/3, -19/3]]]"
11n_1,"[[[-12, 10], [10, -2]]]"
11n_2,"[[[-3, -2], [-2, -2]]]"
11n_13,"[[[-3, -2], [-2, -2]]]"
11n_14,"[[[-12, 10], [10, -1]]]"
11n_18,"[[[-20, 10], [10, -6]]]"
11n_28,"[[[-4, 0], [0, -1]]]"
11n_29,"[[[6, -4], [-4, 0]]]"
11n_30,"[[[-4, 0], [0, -3]]]"
11n_31,"[[[-5, 0], [0, -3]]]"
11n_32,"[[[6, -4], [-4, 2]]]"
11n_33,"[[[-4, 0], [0, -1]]]"
11n_38,"[[[13, -4], [-4, 3]]]"
11n_62,"[[[5, -4], [-4, 2]]]"
11n_63,"[[[-4, 0], [0, -3]]]"
11n_64,"[[[5, -4], [-4, 0]]]"
11n_65,"[[[17/7, 2/7], [2/7, 13/7]]]"
11n_66,"[[[38/7, -26/7], [-26/7, 6/7]]]"
11n_67,"[[[-4/7, 2/7], [2/7, -8/7]]]"
11n_68,"[[[27, -14], [-14, 5]]]"
11n_69,"[[[17, -10], [-10, 2]]]"
11n_71,"[[[2, -4], [-4, 0]], [[0, 0], [0, -2]], [[0, 0], [0, -2]], [[1, -2], [-2, -1]]]"
11n_72,"[[[2, -4], [-4, -1]], [[3, -6], [-6, 0]], [[2, -4], [-4, -1]], [[2, -4], [-4, -1]]]"
11n_73,"[[[0, 0], [0, 0]], [[1, -2], [-2, 1]], [[0, 0], [0, 0]], [[2, -4], [-4, 2]]]"
11n_74,"[[[1, -2], [-2, 1]], [[0, 0], [0, 0]], [[0, 0], [0, 0]], [[2, -4], [-4, 2]]]"
11n_75,"[[[0, 0], [0, 3]], [[-1, 2], [2, 2]], [[-2, 4], [4, 1]], [[0, 0], [0, 3]]]"
11n_76,"[[[0, 0], [0, 3]], [[0, 0], [0, 3]], [[-2, 4], [4, 1]], [[-1, 2], [2, 2]]]"
11n_77,"[[[2, -4], [-4, -3]], [[3, -6], [-6, -2]], [[2, -4], [-4, -3]], [[2, -4], [-4, -3]]]"
11n_78,"[[[0, 0], [0, -2]], [[1, -2], [-2, -1]], [[0, 0], [0, -2]], [[2, -4], [-4, 0]]]"
11n_79,"[[[-3, 0], [0, -1]]]"
11n_80,"[[[-6, 4], [4, 0]]]"
11n_81,"[[[3, -6], [-6, 0]], [[2, -4], [-4, -1]], [[2, -4], [-4, -1]], [[2, -4], [-4, -1]]]"
11n_85,"[[[0, 0], [0, 0]]]"
11n_86,"[[[1, -2], [-2, 1]]]"
11n_87,"[[[-3, 4], [4, 1]]]"
11n_92,"[[[-10, 6], [6, -2]]]"
11n_94,"[[[-1, 2], [2, -1]]]"
11n_95,"[[[2/5, -6/5], [-6/5, -12/5]]]"
11n_97,"[[[4/5, -2/5], [-2/5, 1/5]]]"
11n_98,"[[[-34/5, 22/5], [22/5, -6/5]]]"
11n_99,"[[[19/5, -2/5], [-2/5, 16/5]]]"
11n_100,"[[[-20/7, 10/7], [10/7, -12/7]]]"
11n_101,"[[[-15/7, 18/7], [18/7, -2/7]]]"
11n_102,"[[[-6/7, 10/7], [10/7, 9/7]]]"
11n_104,"[[[2, -4], [-4, -1]]]"
11n_105,"[[[2, -4], [-4, -1]]]"
11n_106,"[[[0, 0], [0, 1]]]"
11n_107,"[[[2, -4], [-4, 0]]]"
11n_109,"[[[2, 2], [2, 3]]]"
11n_118,"[[[-1, -2], [-2, -2]]]"
11n_119,"[[[-5, 5], [5, -3/2]]]"
11n_121,"[[[[-9, 8], [8, -1]]], [[[-15, 8], [8, -1]]]]"
11n_122,"[[[12/7, -6/7], [-6/7, 24/7]]]"
11n_123,"[[[-42, 22], [22, -10]]]"
11n_125,"[[[-13, 6], [6, -4]]]"
11n_126,"[[['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [[20/3, -22/3], [-22/3, -1/3]]]"
11n_136,"[[[3, -6], [-6, -1]]]"
11n_137,"[[[-30/7, 22/7], [22/7, 10/7]]]"
11n_138,"[[[9/7, 6/7], [6/7, 4/7]]]"
11n_139,"[[[-4/5, 2/5], [2/5, -11/5]]]"
11n_140,"[[[-26/5, 18/5], [18/5, 1/5]]]"
11n_141,"[[[6/5, 2/5], [2/5, 4/5]]]"
11n_142,"[[[-19, 12], [12, -5]]]"
11n_143,"[[[12/5, -6/5], [-6/5, 3/5]]]"
11n_145,"[[[-4, 2], [2, -1]]]"
11n_146,"[[[-3, 1], [1, -5/2]]]"
11n_148,"[[[-10/7, -2/7], [-2/7, -6/7]]]"
11n_149,"[[[-19/5, 2/5], [2/5, -11/5]]]"
11n_150,"[[[-1/7, -10/7], [-10/7, -9/7]]]"
11n_153,"[[[-2/7, -6/7], [-6/7, 3/7]]]"
11n_155,"[[[-6/5, -2/5], [-2/5, -4/5]]]"
11n_158,"[[[-19/7, 6/7], [6/7, -17/7]]]"
11n_161,"[[[-9/5, 2/5], [2/5, -11/5]]]"
11n_164,"[[[4, -6], [-6, 1]], [[3, -4], [-4, 0]], [[12, -6], [-6, 1]], [[2, -2], [-2, -1]]]"
11n_167,"[[[13/3, -14/3], [-14/3, 4/3]], [['x', 'x'], ['x', 'x']], [[14/3, -10/3], [-10/3, 2/3]], [['x', 'x'], ['x', 'x']]]"
