Name,Color List
3_1,"[[3, 1, 2, 3]]"
6_1,"[[3, 2, 1, 3, 2, 1, 2, 3]]"
7_4,"[[3, 2, 1, 1, 3, 2, 1, 1, 2, 3]]"
7_7,"[[3, 1, 1, 3, 2, 1, 2, 3]]"
8_5,"[[3, 1, 1, 2, 3, 1, 1, 2]]"
8_10,"[[2, 3, 1, 3, 2, 2, 1, 2]]"
8_11,"[[3, 2, 1, 1, 3, 2, 1, 1, 2, 3]]"
8_15,"[[3, 1, 2, 2, 3, 1, 2, 2, 2, 3]]"
8_18,"[[3, 1, 3, 2, 2, 1, 2, 3], [1, 3, 3, 2, 3, 1, 1, 2], [3, 3, 2, 3, 1, 1, 2, 1], [3, 1, 2, 2, 3, 2, 1, 1]]"
8_19,"[[3, 1, 1, 2, 3, 1, 1, 2]]"
8_20,"[[3, 2, 2, 1, 3, 1, 2, 2]]"
8_21,"[[2, 3, 1, 2, 2, 3, 1, 2]]"
9_1,"[[3, 1, 2, 3, 1, 2, 3, 1, 2, 3]]"
9_2,"[[3, 1, 2, 3, 2, 1, 2, 3, 3, 3, 1, 2]]"
9_4,"[[3, 2, 1, 1, 3, 2, 1, 3, 2, 1, 2, 3]]"
9_6,"[[3, 1, 2, 3, 3, 1, 2, 3, 1, 2]]"
9_10,"[[3, 2, 1, 1, 1, 3, 2, 1, 1, 1, 2, 3]]"
9_11,"[[3, 1, 2, 1, 3, 2, 3, 1, 2, 3]]"
9_15,"[[2, 3, 1, 3, 2, 1, 2, 3, 1, 2]]"
9_16,"[[2, 3, 1, 3, 2, 2, 1, 3, 1, 2]]"
9_17,"[[3, 1, 1, 1, 3, 2, 1, 1, 2, 3]]"
9_23,"[[3, 1, 2, 3, 1, 2, 3, 3, 1, 1, 2, 3]]"
9_24,"[[3, 1, 3, 2, 2, 1, 2, 2, 2, 3]]"
9_28,"[[3, 1, 1, 2, 2, 3, 1, 1, 2, 3]]"
9_29,"[[3, 3, 1, 3, 3, 2, 1, 1, 2, 3]]"
9_34,"[[3, 3, 1, 3, 2, 2, 1, 2, 2, 3]]"
9_35,"[[2, 3, 1, 1, 1, 1, 1, 3, 2, 3, 1, 1, 2, 3], [3, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 1, 2], [1, 1, 1, 1, 3, 2, 1, 3, 2, 1, 1, 1, 2, 1], [3, 1, 2, 2, 1, 3, 2, 3, 1, 1, 2, 2, 1, 1]]"
9_37,"[[1, 1, 1, 3, 2, 3, 2, 1, 1, 1, 2, 3], [3, 2, 1, 1, 3, 3, 1, 3, 2, 1, 1, 2], [3, 2, 1, 3, 1, 2, 2, 3, 2, 1, 2, 1], [1, 3, 2, 3, 3, 2, 1, 1, 3, 2, 1, 1]]"
9_38,"[[1, 2, 3, 1, 2, 3, 3, 3, 3, 1, 2, 1]]"
9_40,"[[3, 3, 1, 2, 2, 3, 1, 1, 2, 3]]"
9_46,"[[2, 1, 3, 3, 2, 1, 1, 2, 3, 2], [3, 2, 3, 1, 1, 3, 1, 1, 2, 3], [1, 2, 2, 3, 2, 3, 1, 2, 1, 1], [3, 3, 2, 3, 1, 1, 2, 1, 1, 3]]"
9_47,"[[3, 2, 3, 1, 1, 3, 1, 2, 3, 3], [1, 3, 3, 2, 3, 2, 1, 1, 2, 1], [3, 1, 2, 2, 3, 1, 1, 2, 1, 3], [3, 3, 2, 3, 1, 1, 2, 1, 1, 3]]"
9_48,"[[2, 1, 1, 3, 2, 3, 3, 2, 1, 2, 3, 2], [3, 2, 3, 2, 2, 3, 1, 3, 1, 1, 2, 3], [1, 2, 3, 1, 3, 2, 3, 1, 1, 2, 1, 1], [3, 3, 1, 1, 2, 2, 3, 3, 2, 1, 1, 3]]"
10_4,"[[3, 2, 1, 2, 3, 2, 1, 3, 3, 3, 1, 2]]"
10_5,"[[3, 2, 1, 3, 3, 1, 3, 2, 1, 2]]"
10_9,"[[1, 3, 2, 2, 3, 2, 1, 3, 1, 2]]"
10_10,"[[3, 1, 3, 3, 2, 1, 2, 2, 1, 3, 1, 2]]"
10_14,"[[3, 2, 1, 1, 3, 2, 1, 3, 2, 1, 2, 3]]"
10_19,"[[3, 2, 1, 1, 3, 2, 1, 3, 1, 1, 2, 3]]"
10_21,"[[3, 2, 1, 1, 1, 3, 2, 1, 1, 1, 2, 3]]"
10_29,"[[2, 1, 3, 2, 1, 3, 2, 3, 1, 2]]"
10_31,"[[3, 1, 3, 3, 2, 1, 2, 3, 3, 3, 1, 2]]"
10_32,"[[3, 2, 1, 2, 3, 1, 3, 3, 1, 1, 2, 3]]"
10_36,"[[3, 1, 2, 3, 2, 1, 2, 3, 3, 3, 1, 2]]"
10_40,"[[2, 3, 1, 3, 2, 3, 1, 2, 1, 1, 2, 2]]"
10_42,"[[3, 1, 3, 2, 1, 2, 2, 3, 1, 2]]"
10_59,"[[3, 1, 1, 2, 1, 3, 2, 3, 1, 2]]"
10_61,"[[3, 1, 1, 1, 1, 2, 3, 1, 1, 1, 2, 3]]"
10_62,"[[3, 3, 3, 1, 2, 3, 3, 3, 1, 2]]"
10_63,"[[3, 1, 2, 2, 2, 3, 1, 2, 2, 2, 2, 2]]"
10_64,"[[3, 1, 1, 1, 2, 3, 1, 1, 1, 2]]"
10_65,"[[2, 2, 2, 3, 1, 2, 2, 2, 3, 1, 2, 2]]"
10_66,"[[2, 2, 2, 3, 1, 3, 2, 2, 2, 1, 2, 2]]"
10_67,"[[2, 2, 2, 3, 1, 2, 3, 1, 2, 2, 2, 2, 1, 2]]"
10_68,"[[2, 2, 2, 3, 1, 3, 1, 3, 2, 2, 2, 2, 1, 2]]"
10_69,"[[3, 3, 3, 2, 1, 2, 1, 3, 3, 3, 1, 2]]"
10_74,"[[2, 3, 1, 1, 1, 1, 1, 3, 2, 3, 1, 1, 2, 3], [3, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 1, 2], [1, 1, 1, 1, 3, 2, 1, 3, 2, 1, 1, 1, 2, 1], [3, 1, 2, 2, 1, 3, 2, 3, 1, 1, 2, 2, 1, 1]]"
10_75,"[[2, 1, 1, 3, 3, 3, 2, 1, 3, 1, 2, 3], [3, 1, 1, 1, 3, 1, 1, 3, 2, 1, 1, 2], [1, 1, 1, 3, 2, 3, 2, 3, 1, 1, 2, 1], [3, 2, 2, 3, 2, 3, 1, 1, 1, 2, 1, 1]]"
10_76,"[[2, 3, 1, 3, 2, 2, 1, 3, 1, 2, 2, 2]]"
10_77,"[[3, 2, 1, 1, 3, 2, 2, 3, 1, 1, 2, 3]]"
10_78,"[[3, 2, 3, 3, 2, 1, 1, 1, 3, 2, 1, 2]]"
10_82,"[[1, 2, 3, 1, 3, 3, 2, 3, 1, 2]]"
10_84,"[[3, 1, 3, 1, 2, 3, 3, 2, 2, 1, 2, 3]]"
10_85,"[[1, 2, 3, 2, 3, 1, 3, 3, 1, 2]]"
10_87,"[[1, 3, 2, 3, 2, 1, 1, 3, 1, 1, 2, 1]]"
10_89,"[[3, 2, 3, 3, 3, 1, 2, 1, 3, 1, 1, 2]]"
10_96,"[[2, 2, 3, 2, 2, 1, 3, 3, 1, 3, 1, 2]]"
10_97,"[[3, 3, 2, 2, 2, 2, 2, 1, 3, 3, 1, 1, 2, 2]]"
10_98,"[[2, 1, 3, 1, 2, 1, 1, 3, 1, 2, 3, 2], [3, 2, 1, 1, 1, 3, 2, 1, 1, 1, 2, 3], [1, 2, 3, 1, 2, 3, 2, 3, 1, 2, 1, 1], [3, 3, 3, 2, 1, 1, 3, 3, 2, 1, 1, 3]]"
10_99,"[[2, 3, 1, 3, 1, 1, 2, 1, 2, 3], [3, 1, 1, 1, 2, 3, 1, 1, 1, 2], [1, 3, 1, 3, 2, 3, 2, 1, 2, 1], [3, 3, 2, 3, 3, 1, 1, 2, 1, 1]]"
10_103,"[[3, 1, 3, 2, 3, 1, 1, 3, 2, 1, 2, 3]]"
10_106,"[[3, 2, 3, 1, 2, 1, 3, 3, 1, 2]]"
10_107,"[[3, 1, 2, 2, 3, 1, 2, 2, 1, 3, 1, 2]]"
10_108,"[[2, 3, 2, 1, 2, 1, 3, 1, 3, 1, 2, 2]]"
10_112,"[[1, 1, 1, 3, 2, 3, 3, 1, 1, 2]]"
10_113,"[[3, 3, 1, 3, 3, 3, 3, 2, 1, 2, 2, 3]]"
10_114,"[[2, 2, 3, 2, 2, 2, 1, 3, 1, 1, 2, 2]]"
10_120,"[[3, 1, 1, 3, 2, 2, 1, 1, 3, 1, 1, 2, 2, 2]]"
10_122,"[[2, 2, 1, 1, 3, 2, 2, 3, 3, 1, 2, 2]]"
10_136,"[[3, 1, 1, 2, 3, 3, 2, 3, 1, 1, 2, 3]]"
10_139,"[[3, 3, 3, 1, 3, 3, 3, 2, 1, 2]]"
10_140,"[[3, 2, 1, 1, 1, 1, 3, 1, 1, 1, 2, 3]]"
10_141,"[[3, 3, 3, 1, 3, 3, 3, 2, 1, 2]]"
10_142,"[[3, 1, 1, 1, 1, 2, 3, 1, 1, 1, 2, 3]]"
10_143,"[[3, 3, 3, 1, 3, 3, 3, 2, 1, 2]]"
10_144,"[[1, 2, 2, 2, 3, 1, 3, 1, 2, 2, 2, 1]]"
10_145,"[[3, 3, 2, 2, 1, 1, 3, 3, 1, 2, 2, 3]]"
10_146,"[[3, 3, 2, 2, 1, 3, 3, 1, 1, 2, 2, 3]]"
10_147,"[[3, 3, 1, 3, 3, 3, 2, 2, 1, 2, 2, 3]]"
10_158,"[[3, 2, 1, 3, 2, 1, 1, 3, 2, 1, 2, 3]]"
10_159,"[[1, 3, 3, 2, 3, 2, 1, 3, 1, 2]]"
10_160,"[[3, 1, 3, 2, 1, 1, 2, 3, 2, 1, 2, 3]]"
10_163,"[[3, 1, 3, 3, 1, 2, 2, 2, 1, 2, 2, 3]]"
10_164,"[[3, 1, 1, 1, 2, 1, 1, 3, 2, 1, 2, 3]]"
10_165,"[[1, 3, 1, 3, 3, 2, 2, 1, 2, 2, 2, 1]]"
11a_6,"[[3, 1, 1, 2, 1, 1, 3, 2, 3, 3, 1, 2]]"
11a_8,"[[3, 1, 1, 2, 3, 1, 3, 2, 3, 3, 1, 2]]"
11a_16,"[[3, 1, 3, 1, 2, 2, 1, 3, 2, 1, 2, 2]]"
11a_17,"[[3, 1, 1, 2, 2, 1, 3, 1, 2, 3, 1, 1, 2, 3]]"
11a_21,"[[1, 3, 3, 2, 2, 1, 3, 2, 1, 3, 3, 1, 2, 1]]"
11a_37,"[[3, 2, 1, 3, 1, 2, 2, 3, 2, 1, 2, 2]]"
11a_38,"[[1, 3, 3, 3, 3, 2, 1, 2, 1, 2, 3, 3, 1, 2]]"
11a_43,"[[1, 3, 1, 1, 1, 1, 3, 2, 2, 1, 1, 3, 2, 3], [3, 2, 3, 3, 2, 1, 1, 1, 1, 1, 3, 2, 1, 2], [3, 1, 3, 3, 2, 1, 3, 2, 2, 1, 3, 1, 2, 1], [1, 1, 1, 1, 3, 2, 3, 1, 1, 2, 1, 1, 1, 1]]"
11a_44,"[[2, 3, 1, 1, 3, 3, 2, 1, 1, 1, 2, 3, 3, 2], [1, 2, 3, 2, 2, 2, 2, 2, 1, 3, 1, 2, 2, 1], [2, 1, 3, 2, 1, 1, 3, 2, 1, 3, 2, 1, 1, 2], [1, 1, 1, 3, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1]]"
11a_45,"[[1, 3, 3, 2, 2, 3, 2, 1, 3, 3, 3, 1, 2, 1]]"
11a_46,"[[3, 1, 3, 3, 1, 2, 2, 3, 1, 2, 2, 2]]"
11a_47,"[[1, 2, 3, 1, 3, 3, 2, 1, 2, 3, 3, 1], [3, 1, 1, 1, 2, 2, 3, 1, 1, 2, 2, 3], [3, 2, 3, 1, 1, 1, 1, 1, 2, 1, 1, 3], [1, 1, 3, 2, 1, 1, 3, 2, 1, 1, 1, 1]]"
11a_49,"[[2, 3, 1, 2, 3, 1, 3, 2, 2, 3, 1, 2]]"
11a_57,"[[2, 3, 1, 1, 1, 3, 3, 2, 1, 1, 2, 3, 3, 2], [1, 2, 3, 2, 1, 2, 2, 3, 1, 3, 1, 2, 2, 1], [2, 1, 3, 2, 1, 1, 1, 1, 1, 3, 2, 1, 1, 2], [1, 1, 1, 3, 2, 1, 1, 3, 2, 1, 1, 1, 1, 1]]"
11a_58,"[[1, 3, 1, 1, 1, 3, 2, 2, 3, 1, 1, 2]]"
11a_63,"[[1, 3, 3, 2, 1, 3, 3, 2, 1, 3, 1, 2]]"
11a_69,"[[1, 2, 3, 3, 2, 3, 3, 1, 3, 2, 1, 3, 1, 2]]"
11a_71,"[[3, 2, 2, 2, 3, 1, 3, 1, 2, 1, 2, 3]]"
11a_72,"[[3, 1, 3, 1, 2, 2, 3, 2, 1, 2, 2, 3]]"
11a_73,"[[3, 2, 2, 1, 1, 3, 1, 1, 1, 1, 2, 3]]"
11a_78,"[[2, 2, 2, 3, 1, 3, 1, 3, 2, 2, 2, 2, 1, 2]]"
11a_90,"[[3, 2, 1, 2, 3, 2, 1, 3, 3, 3, 1, 2]]"
11a_91,"[[2, 3, 1, 2, 3, 2, 1, 2, 3, 3, 1, 2]]"
11a_93,"[[2, 3, 1, 3, 3, 2, 1, 2, 3, 3, 1, 2]]"
11a_99,"[[1, 3, 3, 1, 2, 3, 2, 3, 1, 2, 2, 1]]"
11a_100,"[[3, 1, 2, 2, 2, 3, 1, 2, 2, 2, 2, 2]]"
11a_102,"[[3, 2, 1, 1, 1, 3, 3, 1, 1, 3, 2, 1, 1, 2]]"
11a_103,"[[1, 2, 3, 2, 2, 2, 3, 3, 1, 3, 1, 2, 2, 2, 2, 1]]"
11a_106,"[[3, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 3]]"
11a_107,"[[2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 1, 3, 1, 2]]"
11a_108,"[[3, 1, 1, 1, 1, 2, 3, 1, 1, 1, 2, 3]]"
11a_109,"[[2, 2, 2, 3, 1, 2, 2, 2, 3, 1, 2, 2]]"
11a_117,"[[3, 1, 2, 2, 3, 1, 2, 3, 3, 3, 1, 2]]"
11a_118,"[[3, 1, 1, 3, 3, 2, 1, 2, 3, 3, 1, 2]]"
11a_123,"[[3, 3, 3, 1, 1, 1, 3, 3, 3, 3, 2, 2, 1, 1, 2, 3], [1, 3, 2, 3, 1, 2, 3, 2, 1, 1, 2, 3, 3, 1, 1, 2], [3, 2, 1, 3, 1, 2, 2, 1, 3, 3, 3, 1, 3, 1, 2, 1], [3, 2, 1, 1, 2, 3, 2, 1, 3, 3, 2, 3, 1, 2, 1, 1]]"
11a_128,"[[3, 1, 3, 3, 1, 2, 2, 2, 2, 1, 2, 2, 2, 3]]"
11a_130,"[[3, 1, 2, 2, 3, 1, 3, 2, 3, 1, 2, 2]]"
11a_132,"[[3, 3, 1, 3, 3, 3, 2, 1, 2, 2, 2, 1, 2, 2]]"
11a_134,"[[3, 1, 2, 2, 2, 3, 1, 2, 2, 2, 2, 2]]"
11a_135,"[[3, 2, 3, 1, 1, 2, 2, 1, 3, 1, 2, 3], [1, 3, 3, 2, 3, 1, 1, 3, 2, 1, 1, 2], [3, 1, 2, 2, 3, 2, 2, 3, 1, 1, 2, 1], [3, 3, 2, 3, 1, 1, 1, 1, 1, 2, 1, 1]]"
11a_137,"[[3, 3, 1, 3, 1, 2, 1, 2, 3, 3, 2, 2, 1, 2]]"
11a_139,"[[2, 2, 2, 3, 1, 2, 2, 2, 3, 1, 2, 2]]"
11a_146,"[[3, 2, 1, 3, 2, 1, 1, 3, 1, 1, 2, 3]]"
11a_152,"[[1, 3, 3, 1, 2, 1, 3, 2, 3, 3, 1, 2]]"
11a_155,"[[1, 2, 1, 1, 3, 1, 1, 3, 2, 3, 1, 1, 2, 3], [1, 3, 1, 3, 2, 3, 2, 1, 1, 2, 1, 3, 1, 2], [1, 1, 1, 3, 1, 3, 2, 3, 2, 1, 1, 3, 2, 1], [2, 3, 2, 1, 1, 1, 3, 3, 1, 1, 2, 1, 1, 1]]"
11a_157,"[[3, 2, 2, 1, 1, 1, 3, 1, 1, 2, 2, 3]]"
11a_159,"[[1, 3, 3, 2, 1, 3, 2, 2, 3, 1, 2, 1]]"
11a_161,"[[2, 3, 1, 3, 2, 1, 3, 2, 2, 3, 1, 2]]"
11a_165,"[[3, 1, 3, 2, 2, 2, 1, 2, 2, 2, 2, 2]]"
11a_171,"[[2, 2, 3, 2, 2, 2, 1, 3, 1, 1, 2, 2]]"
11a_173,"[[2, 3, 1, 1, 2, 2, 2, 1, 1, 3, 1, 2, 2, 3], [1, 1, 3, 2, 2, 3, 2, 3, 1, 1, 1, 1, 1, 2], [2, 3, 3, 2, 3, 1, 3, 3, 1, 3, 1, 2, 2, 1], [1, 3, 1, 3, 2, 3, 2, 1, 2, 3, 2, 1, 1, 1]]"
11a_175,"[[3, 1, 3, 2, 3, 1, 2, 2, 1, 1, 2, 3]]"
11a_176,"[[2, 1, 3, 2, 3, 1, 3, 2, 1, 1, 2, 2]]"
11a_178,"[[3, 1, 3, 3, 2, 1, 2, 2, 3, 3, 1, 2]]"
11a_179,"[[3, 1, 1, 1, 1, 3, 2, 1, 1, 1, 2, 3]]"
11a_181,"[[2, 3, 1, 1, 3, 3, 3, 2, 1, 3, 1, 1, 2, 3], [3, 2, 1, 1, 1, 3, 1, 1, 3, 2, 1, 1, 1, 2], [1, 1, 1, 1, 3, 2, 3, 2, 3, 1, 1, 1, 2, 1], [3, 1, 2, 2, 3, 2, 3, 1, 1, 1, 2, 2, 1, 1]]"
11a_184,"[[3, 1, 2, 1, 1, 3, 2, 3, 1, 1, 2, 3]]"
11a_187,"[[2, 2, 2, 3, 1, 2, 3, 1, 2, 2, 2, 2, 1, 2]]"
11a_194,"[[3, 1, 2, 2, 2, 2, 3, 1, 2, 2, 2, 3]]"
11a_196,"[[3, 2, 2, 2, 3, 1, 3, 1, 2, 1, 2, 3]]"
11a_199,"[[2, 2, 2, 2, 3, 1, 3, 1, 3, 2, 2, 2, 1, 2]]"
11a_201,"[[2, 3, 1, 3, 3, 1, 2, 2, 2, 3, 1, 2, 2, 2, 2, 2]]"
11a_202,"[[3, 3, 3, 3, 2, 1, 2, 1, 3, 3, 3, 3, 1, 2]]"
11a_203,"[[3, 1, 2, 2, 3, 1, 2, 3, 1, 1, 2, 3]]"
11a_208,"[[3, 2, 1, 3, 2, 1, 3, 2, 2, 3, 1, 2]]"
11a_209,"[[3, 3, 3, 1, 3, 3, 2, 1, 2, 1, 2, 3, 2, 1, 2, 3]]"
11a_212,"[[1, 3, 3, 3, 2, 3, 2, 1, 1, 3, 3, 3, 1, 2]]"
11a_214,"[[2, 2, 2, 1, 3, 2, 2, 2, 2, 3, 1, 3, 1, 2, 2, 2]]"
11a_216,"[[2, 1, 3, 2, 3, 2, 1, 3, 3, 1, 2, 2]]"
11a_219,"[[1, 3, 3, 2, 2, 2, 1, 3, 1, 3, 1, 2, 2, 2, 2, 1]]"
11a_223,"[[3, 1, 1, 1, 1, 2, 3, 1, 1, 1, 2, 3]]"
11a_230,"[[3, 2, 1, 1, 2, 3, 2, 1, 1, 3, 3, 1, 2, 3]]"
11a_231,"[[2, 1, 3, 2, 2, 1, 3, 1, 2, 2, 3, 2], [3, 1, 1, 1, 1, 1, 2, 3, 1, 1, 2, 3], [1, 1, 3, 2, 2, 1, 1, 3, 2, 2, 1, 1], [3, 2, 3, 1, 1, 2, 1, 1, 1, 1, 1, 3]]"
11a_232,"[[2, 2, 3, 1, 2, 2, 2, 3, 1, 2, 2, 2]]"
11a_236,"[[2, 1, 3, 1, 2, 3, 1, 3, 2, 3, 1, 1, 2, 2]]"
11a_237,"[[2, 2, 2, 2, 3, 1, 2, 3, 1, 2, 2, 2, 2, 2, 1, 2]]"
11a_239,"[[2, 2, 1, 1, 3, 2, 2, 3, 3, 1, 2, 2]]"
11a_243,"[[3, 1, 2, 3, 3, 2, 1, 2, 3, 3, 3, 3, 1, 2]]"
11a_244,"[[3, 3, 1, 2, 2, 3, 3, 3, 3, 1, 2, 2, 2, 3]]"
11a_245,"[[2, 3, 1, 3, 3, 1, 2, 1, 2, 3, 3, 1, 2, 2]]"
11a_248,"[[3, 3, 3, 1, 3, 3, 3, 2, 1, 2, 2, 3]]"
11a_249,"[[2, 1, 2, 2, 3, 1, 3, 3, 2, 1, 2, 3], [3, 1, 3, 2, 3, 3, 1, 2, 3, 1, 1, 2], [1, 1, 1, 3, 2, 3, 3, 1, 1, 1, 2, 1], [3, 2, 3, 2, 2, 1, 3, 1, 3, 2, 1, 1]]"
11a_258,"[[3, 1, 3, 3, 2, 3, 1, 2, 3, 3, 1, 2]]"
11a_260,"[[2, 3, 1, 1, 3, 2, 2, 1, 2, 3, 1, 2]]"
11a_261,"[[1, 2, 3, 2, 3, 1, 1, 3, 1, 1, 2, 1]]"
11a_263,"[[3, 1, 2, 1, 1, 3, 3, 2, 1, 1, 1, 2, 3, 3], [2, 3, 1, 3, 2, 2, 2, 2, 2, 1, 3, 1, 2, 2], [1, 3, 2, 3, 2, 1, 1, 3, 2, 1, 3, 2, 1, 1], [1, 1, 1, 1, 3, 1, 1, 2, 3, 2, 1, 1, 1, 1]]"
11a_264,"[[2, 1, 3, 1, 3, 2, 3, 2, 1, 2, 2, 2]]"
11a_271,"[[3, 2, 1, 2, 2, 2, 1, 3, 2, 2, 1, 3, 1, 2]]"
11a_273,"[[3, 1, 1, 3, 1, 3, 2, 1, 2, 3, 2, 1, 2, 2]]"
11a_274,"[[2, 1, 2, 3, 1, 3, 3, 2, 3, 1, 2, 2]]"
11a_275,"[[2, 1, 2, 1, 3, 1, 3, 1, 3, 2, 2, 3, 1, 2]]"
11a_277,"[[2, 3, 3, 3, 1, 2, 1, 3, 1, 2, 3, 2], [3, 1, 3, 1, 2, 3, 3, 2, 1, 1, 2, 3], [1, 3, 2, 3, 2, 1, 3, 1, 1, 2, 1, 1], [3, 3, 2, 3, 3, 3, 1, 1, 2, 1, 1, 3]]"
11a_278,"[[2, 2, 2, 3, 3, 1, 3, 3, 2, 2, 1, 2]]"
11a_280,"[[1, 3, 3, 2, 3, 3, 2, 1, 3, 3, 2, 1, 3, 3, 3, 1, 2, 1]]"
11a_283,"[[3, 2, 1, 3, 2, 1, 3, 2, 3, 1, 1, 1, 1, 2]]"
11a_286,"[[2, 2, 1, 3, 1, 3, 2, 3, 2, 1, 2, 2]]"
11a_290,"[[3, 1, 1, 3, 1, 2, 3, 2, 3, 2, 1, 3, 1, 2]]"
11a_291,"[[2, 3, 1, 2, 3, 1, 1, 1, 1, 1, 1, 2, 3, 2], [3, 3, 3, 1, 3, 3, 2, 1, 2, 1, 3, 1, 2, 3], [1, 2, 3, 2, 2, 3, 2, 1, 2, 1, 3, 2, 1, 1], [3, 2, 1, 1, 2, 1, 3, 2, 3, 2, 1, 1, 1, 3]]"
11a_292,"[[3, 3, 2, 2, 2, 2, 2, 2, 1, 3, 3, 1, 1, 2, 2, 2]]"
11a_293,"[[2, 1, 3, 3, 3, 2, 1, 3, 1, 2, 3, 2], [3, 3, 3, 1, 3, 3, 3, 2, 1, 1, 2, 3], [1, 3, 2, 3, 2, 1, 3, 1, 1, 2, 1, 1], [3, 1, 2, 3, 2, 3, 1, 1, 2, 1, 1, 3]]"
11a_294,"[[2, 2, 2, 3, 1, 3, 1, 1, 3, 2, 2, 2, 1, 2]]"
11a_296,"[[1, 3, 3, 1, 1, 1, 2, 1, 3, 2, 1, 3, 1, 1, 2, 1]]"
11a_300,"[[1, 2, 3, 2, 3, 1, 3, 1, 1, 1, 2, 1]]"
11a_304,"[[3, 1, 1, 3, 1, 2, 1, 2, 3, 1, 2, 3, 1, 2]]"
11a_305,"[[3, 3, 2, 3, 1, 1, 3, 1, 2, 1, 2, 3]]"
11a_306,"[[1, 2, 3, 2, 3, 1, 3, 1, 1, 1, 2, 1]]"
11a_309,"[[2, 1, 3, 3, 2, 1, 3, 2, 3, 3, 1, 2]]"
11a_314,"[[2, 3, 1, 3, 3, 3, 1, 2, 1, 2, 3, 2], [3, 1, 3, 2, 3, 1, 2, 2, 1, 1, 2, 3], [1, 3, 3, 1, 2, 3, 2, 3, 1, 2, 1, 1], [3, 3, 1, 1, 2, 3, 3, 2, 2, 1, 1, 3]]"
11a_318,"[[3, 1, 2, 1, 1, 2, 1, 3, 1, 1, 3, 1, 2, 3]]"
11a_324,"[[1, 3, 2, 3, 2, 2, 1, 3, 1, 2, 2, 1, 3, 1, 2, 1]]"
